Td 	 Time	RES_WIND	RES_SOLAR	RES_HYDRO	ADO	ULP	LPG	WOOD	HYDRO	THERMAL	IPP_SOLAR	PV	WIND_ONSHORE	HYDRO_RIVER	GRID	BESS_Pin	BESS_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	END_USE	
 1 	 1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
 1 	 10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	2063.113360	1.000000	-0.000000	2063.113360	-0.000000	0.000000	-4159.226721	
